CODIGO,NOM_DEP,NOM_PROV,CAT_SECC,NOM_MUN,COD_DEP,COD_PROV,COD_MUN
060101,Tarija,Cercado,PRIMERA,Tarija,06,01,01
050103,Potosi,Tomas Frias,SEGUNDA,Yocalla,05,01,03
050101,Potosi,Tomas Frias,CAPITAL,Potosi,05,01,01
050104,Potosi,Tomas Frias,TERCERA,Belen de Urmiri,05,01,04
010102,Chuquisaca,Oropeza,PRIMERA,Yotala,01,01,02
050102,Potosi,Tomas Frias,PRIMERA,Tinquipaya,05,01,02
010101,Chuquisaca,Oropeza,CAPITAL,Sucre,01,01,01
010103,Chuquisaca,Oropeza,SEGUNDA,Poroma,01,01,03
070104,Santa Cruz,Andres Ibañez,TERCERA,La Guardia,07,01,04
040103,Oruro,Cercado,SEGUNDA,El Choro,04,01,03
040101,Oruro,Cercado,CAPITAL,Oruro,04,01,01
070105,Santa Cruz,Andres Ibañez,CUARTA,El Torno,07,01,05
040104,Oruro,Cercado,TERCERA,Paria,04,01,04
070102,Santa Cruz,Andres Ibañez,PRIMERA,Cotoca,07,01,02
030101,Cochabamba,Cercado,PRIMERA,Cochabamba,03,01,01
040102,Oruro,Cercado,PRIMERA,Caracollo,04,01,02
070103,Santa Cruz,Andres Ibañez,SEGUNDA,Porongo (Ayacucho),07,01,03
070101,Santa Cruz,Andres Ibañez,CAPITAL,Santa Cruz de la Sierra,07,01,01
020103,La Paz,Murillo,SEGUNDA,Mecapaca,02,01,03
020102,La Paz,Murillo,PRIMERA,Palca,02,01,02
020104,La Paz,Murillo,TERCERA,Achocalla,02,01,04
020105,La Paz,Murillo,CUARTA,El Alto,02,01,05
020101,La Paz,Murillo,CAPITAL,Nuestra Señora de La Paz,02,01,01
080101,Beni,Cercado,CAPITAL,Trinidad,08,01,01
080102,Beni,Cercado,PRIMERA,San Javier,08,01,02
090101,Pando,Nicolas Suarez,CAPITAL,Cobija,09,01,01
090102,Pando,Nicolas Suarez,PRIMERA,Porvenir,09,01,02
